bin,alpha_left,alpha_right,x_left,x_right,event_cells,unweighted_positive_mass,prime_square_mass,mixed_center_mass,continuous_center_mass,psi_left_simpson,psi_right_simpson,weight_lower_analytic_only,weight_upper_analytic_only,weighted_midpoint,weighted_lower_analytic_only,weighted_upper_analytic_only
0,1.75,1.750030517578125,21625.302727212787,21629.067276726928,2,3.538456073590458e-05,0.00018846365956023823,-0.0005387934963549579,0.0003857143975306242,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,6.644482995291411e-12
1,1.750030517578125,1.75006103515625,21629.067276726928,21632.832481576737,1,1.1047090504802616e-05,0.0002662642683534721,-0.0006409987208376659,0.0003857815429889964,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.0744133452566856e-12
2,1.75006103515625,1.750091552734375,21632.832481576737,21636.598341876375,1,1.1067904232523818e-05,0.00026621792493296726,-0.0006409987208445817,0.00038584870014413835,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.0783217295077815e-12
3,1.750091552734375,1.7501220703125,21636.598341876375,21640.364857739864,1,1.1088737716874928e-05,0.00026617158957292477,-0.0006409987208379355,0.0003859158689818857,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.082233823642192e-12
4,1.7501220703125,1.750152587890625,21640.364857739864,21644.1320292814,2,1.7972228135384616e-06,0.0003495146483443744,-0.0007337004750513389,0.000385983049520503,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,3.3748098534932446e-13
5,1.750152587890625,1.75018310546875,21644.1320292814,21647.89985661509,2,2.9480751395628084e-06,0.000339241101260022,-0.0007223432678703852,0.00038605024174992605,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,5.535870652702528e-13
6,1.75018310546875,1.750213623046875,21647.89985661509,21651.668339855052,2,2.922932044255395e-05,0.0002085070455480437,-0.0005653951707775085,0.00038611744567201866,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,5.488657160223143e-12
7,1.750213623046875,1.750244140625,21651.668339855052,21655.437479115546,2,3.251243486921123e-05,0.00019811840559046681,-0.0005517906320225736,0.0003861846613013179,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,6.105157620475713e-12
8,1.750244140625,1.750274658203125,21655.437479115546,21659.207274510693,1,1.1181107835618143e-05,0.000265999001480544,-0.0006410697822682124,0.00038625188862328666,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,2.0995790066965506e-12
9,1.750274658203125,1.75030517578125,21659.207274510693,21662.977726154793,2,2.461911431550066e-05,0.0002233366656618449,-0.0005850366790029066,0.0003863191276565623,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,4.622956538852669e-12
10,1.75030517578125,1.750335693359375,21662.977726154793,21666.74883416201,2,2.3476289996907906e-05,0.00022700668160699066,-0.0005899167699966903,0.0003863863783866076,0.0,0.0,0.0,1.8777915726813812e-07,0.0,0.0,4.408357951401787e-12
11,1.750335693359375,1.7503662109375,21666.74883416201,21670.52059864668,2,4.841669132392581e-07,0.00036119573690654775,-0.0007471652108253685,0.0003864536408320599,0.0,1.5030738656859805e-300,0.0,1.8777915726813812e-07,3.638693169598902e-307,0.0,9.091645494518363e-14
12,1.7503662109375,1.750396728515625,21670.52059864668,21674.29301972304,2,4.125830981644552e-06,0.0003289635442291558,-0.0007113586282296209,0.0003865209149821097,1.5030738656859805e-300,1.0841735481187485e-277,0.0,1.8777915726813812e-07,2.2365584071539165e-283,0.0,7.747450647639891e-13
13,1.750396728515625,1.75042724609375,21674.29301972304,21678.066097505358,1,1.1274054330686567e-05,0.0002658256523601725,-0.000641139798868852,0.0003865882008393661,1.0841735481187485e-277,4.27904785485885e-258,0.0,1.8777915726813812e-07,2.4121108999643243e-263,0.0,2.1170324212115266e-12
14,1.75042724609375,1.750457763671875,21678.066097505358,21681.83983210803,2,2.3487653607911597e-06,0.0003446897073295923,-0.0007289964403871675,0.0003866554984183662,4.27904785485885e-258,4.1482037737161985e-241,0.0,1.8777915726813812e-07,4.8715786666038883e-247,0.0,4.4104918006995835e-13
15,1.750457763671875,1.75048828125,21681.83983210803,21685.614223645316,3,5.3748149832883525e-06,0.0003180547327881109,-0.00069940272550865,0.0003867228077038274,4.1482037737161985e-241,3.0462719222006716e-226,0.0,1.8777915726813812e-07,8.186573985307401e-232,0.0,1.0092782280340487e-12
16,1.75048828125,1.750518798828125,21685.614223645316,21689.389272231656,1,4.212916084838182e-07,0.00036168096147528195,-0.0007480497985819307,0.0003867901287151326,3.0462719222006716e-226,4.009933756338181e-213,0.0,1.8777915726813812e-07,8.446757210607e-220,0.0,7.910978320522977e-14
17,1.750518798828125,1.75054931640625,21689.389272231656,21693.16497798139,1,4.2567359035582417e-07,0.0003616180107307617,-0.0007480497985818779,0.00038685746144147205,4.009933756338181e-213,1.8489381516305137e-201,0.0,1.8777915726813812e-07,3.935220706760645e-208,0.0,7.99326280683193e-14
18,1.75054931640625,1.750579833984375,21693.16497798139,21696.941341008875,2,2.7093208114841296e-06,0.00042771009877124453,-0.0008119255838448426,0.00038692480588508227,1.8489381516305137e-201,5.068050634146132e-191,0.0,1.8777915726813812e-07,6.865487528624197e-197,0.0,5.087539787495179e-13
19,1.750579833984375,1.7506103515625,21696.941341008875,21700.71836142861,2,4.4976142546973675e-06,0.00047396209632402794,-0.0008564566441294581,0.0003869921620601276,5.068050634146132e-191,1.2608908637893327e-181,0.0,1.8777915726813812e-07,2.8355003624379967e-187,0.0,8.445582144642368e-13
20,1.7506103515625,1.750640869140625,21700.71836142861,21704.496039354963,2,5.604358234967965e-06,0.0004814780690593355,-0.000862933240777184,0.0003870595299528164,1.2608908637893327e-181,4.010690600567084e-173,0.0,1.8777915726813812e-07,1.1238673482930795e-178,0.0,1.0523816663910343e-12
21,1.750640869140625,1.75067138671875,21704.496039354963,21708.274374902463,1,4.206994761872657e-06,0.00047204673899428374,-0.0008549666538130788,0.0003871269095806678,4.010690600567084e-173,2.1587795079352816e-165,0.0,1.8777915726813812e-07,4.540987125325653e-171,0.0,7.899859310159189e-13
22,1.75067138671875,1.750701904296875,21708.274374902463,21712.053368185516,1,4.192226154364739e-06,0.00047196457902868764,-0.0008549666538045861,0.00038719430093026296,2.1587795079352816e-165,2.4786818918163556e-158,0.0,1.8777915726813812e-07,5.1955979801159944e-164,0.0,7.872126943440582e-13
23,1.750701904296875,1.750732421875,21712.053368185516,21715.833019318692,3,2.5829260923351723e-06,0.0004245583751421195,-0.0008092371530685324,0.0003872617040187481,2.4786818918163556e-158,7.363343560247803e-152,0.0,1.8777915726813812e-07,9.509489305422173e-158,0.0,4.850196849045837e-13
24,1.750732421875,1.750762939453125,21715.833019318692,21719.613328416483,1,4.1665422281968785e-06,0.0004718404846306352,-0.0008550030612403614,0.0003873291188379229,7.363343560247803e-152,6.655532967850515e-146,0.0,1.8777915726813812e-07,1.3865294920693776e-151,0.0,7.823897883329202e-13
25,1.750762939453125,1.75079345703125,21719.613328416483,21723.394295593378,1,4.151844720099753e-06,0.0004717583605631355,-0.0008550030612308232,0.0003873965453877873,6.655532967850515e-146,2.099553382029625e-140,0.0,1.8777915726813812e-07,4.358523628243345e-146,0.0,7.796299026485004e-13
26,1.75079345703125,1.750823974609375,21723.394295593378,21727.17592096402,3,6.191279780289946e-06,0.00048565800138568966,-0.0008669307052890236,0.000387463983683624,2.099553382029625e-140,2.5981614242623874e-135,0.0,1.8777915726813812e-07,8.043037140594532e-141,0.0,1.1625932995541095e-12
27,1.750823974609375,1.7508544921875,21727.17592096402,21730.958204642906,2,6.039172411002707e-06,0.0004846646239692222,-0.0008661568852694881,0.0003875314337112684,2.5981614242623874e-135,1.3941537821653453e-130,0.0,1.8777915726813812e-07,4.2098459826979795e-136,0.0,1.1340307059350782e-12
28,1.7508544921875,1.750885009765625,21730.958204642906,21734.741146744713,1,2.249215819343355e-05,0.0005968308200822259,-0.0009619375573770321,0.0003875988954882399,1.3941537821653453e-130,3.536483764177463e-126,0.0,1.8777915726813812e-07,3.977314401256515e-131,0.0,4.2235585107045994e-12
29,1.750885009765625,1.75091552734375,21734.741146744713,21738.524747384028,2,1.5061719363385697e-05,0.0005462691181126827,-0.0009188737677552621,0.00038766636900596505,3.536483764177463e-126,4.5704681958876075e-122,0.0,1.8777915726813812e-07,3.4422217939168897e-127,0.0,2.828276969065764e-12
30,1.75091552734375,1.750946044921875,21738.524747384028,21742.30900667544,2,9.333004985314379e-07,0.0003748248893513841,-0.0007616254431172965,0.00038773385426444393,4.5704681958876075e-122,3.212151572697583e-118,0.0,1.8777915726813812e-07,1.4991646130908855e-124,0.0,1.752543810921666e-13
31,1.750946044921875,1.7509765625,21742.30900667544,21746.093924733694,2,1.976526326760974e-06,0.00040688087847832115,-0.000792705703430892,0.0003878013512793319,3.212151572697583e-118,1.2997436165444648e-114,0.0,1.8777915726813812e-07,1.2848061831772767e-120,0.0,3.711504479574643e-13
32,1.7509765625,1.751007080078125,21746.093924733694,21749.87950167339,2,1.0704185906979755e-05,0.000516759975191465,-0.00089392464932095,0.0003878688600364647,1.2997436165444648e-114,3.183635787589587e-111,0.0,1.8777915726813812e-07,1.7046071013887877e-116,0.0,2.010023008854139e-12
33,1.751007080078125,1.75103759765625,21749.87950167339,21753.6657376093,2,9.461924346956363e-06,0.0005082992421985899,-0.0008867736984046221,0.00038793638055298856,3.183635787589587e-111,4.9341218751882346e-108,0.0,1.8777915726813812e-07,2.335820561133199e-113,0.0,1.776752180006344e-12
34,1.75103759765625,1.751068115234375,21753.6657376093,21757.452632656066,2,3.6130735392874855e-06,0.000457979226874413,-0.000842370066150983,0.00038800391281585734,4.9341218751882346e-108,5.0319787452636905e-105,0.0,1.8777915726813812e-07,9.099368299978073e-111,0.0,6.784599043552131e-13
35,1.751068115234375,1.7510986328125,21757.452632656066,21761.240186928506,1,5.005916131150322e-07,0.00036069625514616627,-0.0007482671203756416,0.0003880714568425902,5.0319787452636905e-105,3.496563394754845e-102,0.0,1.8777915726813812e-07,8.764346382482765e-109,0.0,9.400067124623859e-14
36,1.7510986328125,1.751129150390625,21761.240186928506,21765.028400541338,1,5.05368038191756e-07,0.0003606334757902255,-0.0007482671203755295,0.0003881390126234956,3.496563394754845e-102,1.7077093742458159e-99,0.0,1.8777915726813812e-07,4.3239439382374983e-106,0.0,9.489758432190019e-14
37,1.751129150390625,1.75115966796875,21765.028400541338,21768.817273609304,4,1.368153483920197e-06,0.00038778860975084657,-0.0007746270364277365,0.00038820658016081006,1.7077093742458159e-99,6.027438750541039e-97,0.0,1.8777915726813812e-07,4.134912705483649e-103,0.0,2.569107082240017e-13
38,1.75115966796875,1.751190185546875,21768.817273609304,21772.606806247277,1,3.985112256188792e-06,0.0004709311383596175,-0.0008552201855713814,0.0003882741594679526,6.027438750541039e-97,1.5762907934559466e-94,0.0,1.8777915726813812e-07,3.152857890178529e-100,0.0,7.4832102108606e-13
39,1.751190185546875,1.751220703125,21772.606806247277,21776.39699857,2,8.765001802839356e-07,0.00037195960129209705,-0.0007594248516433174,0.0003883417505315042,1.5762907934559466e-94,3.1237748073279394e-92,0.0,1.8777915726813812e-07,1.3759026867178978e-98,0.0,1.6458846519908855e-13
40,1.751220703125,1.751251220703125,21776.39699857,21780.18785069239,2,2.136362595185668e-06,0.0004123376907635823,-0.0007986106815381261,0.0003884093533697294,3.1237748073279394e-92,4.787038421237703e-90,0.0,1.8777915726813812e-07,5.1467924906952334e-96,0.0,4.011643677431372e-13
